"","route_short_name","mean_hw"
"1","21",35.3564993564994
"2","22",15.8422654996353
"3","26",18.6246171795246
"4","28",23.1599190283401
"5","29",29.7352030138133
"6","30",19.1406988249845
"7","31",28.636876955541
"8","33",40
"9","34",55.5230325814536
"10","36",38.192669399566
"11","37",29.3751589793126
"12","38",5
"13","51",34.6222719641858
"14","52",47.734126984127
"15","53",38.7257890776603
"16","54",35.8681263793704
"17","56",24.4154310893068
"18","57",30.3035714285714
"19","59",53.7241689128482
"20","62",36.5245652652432
"21","63",55.2022844726333
"22","65",29.7316046871974
"23","67",36.7359733848465
"24","69",52.2502164502164
"25","70",52.5473508975101
"26","71",38.5672514619883
"27","73",38.7639204545455
"28","75",66.3447027763584
"29","76",41.0839251893939
"30","77",29.1813750592698
"31","78",21.5912685858905
"32","79",42.1428571428571
"33","80",15.7565363036304
"34","81",36.8160245826454
"35","82",31.5995647442873
"36","83",25.9811363636364
"37","85",19.8345864661654
"38","87",41.37899543379
"39","89",41.7474116475859
"40","91",39.9626016260163
"41","92",57.1034482758621
"42","93",40.0746714456392
"43","94",40.9978515158749
"44","CityLink BLUE",18.9505171001434
"45","CityLink BROWN",28.2107851253924
"46","CityLink GOLD",30.7094180561394
"47","CityLink GREEN",16.3737522428503
"48","CityLink LIME",28.373181083266
"49","CityLink NAVY",19.7455746015741
"50","CityLink ORANGE",18.1398265707775
"51","CityLink PINK",16.2715291979096
"52","CityLink PURPLE",29.909490240472
"53","CityLink RED",28.0848655035981
"54","CityLink SILVER",30.5441975849112
"55","CityLink YELLOW",31.1825829457364
"56",NA,NA
